Name,id,Bells,Location,Time,Season,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec
Saw Shark,63,$12000.00,Sea,4pm - 9am,,,,,,June,July,Aug,Sept,,,,
Sea Bass,64,$400.00,Sea,All Day,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,
Sea Butterfly,65,$1000.00,Sea,All Day,Jan,Feb,Mar,,,,,,,,,Dec,
Seahorse,66,$1100.00,Sea,All Day,,,,April,May,June,July,Aug,Sept,Oct,Nov,,
Snapping Turtle,67,$5000.00,River,9pm - 4am,,,,April,May,June,July,Aug,Sept,Oct,,,
Soft-shelled Turtle,68,$3750.00,River,4pm - 9am,,,,,,,,Aug,Sept,,,,
Squid,69,$500.00,Ocean,All Day,Jan,Feb,Mar,April,May,June,July,Aug,,,,Dec,
Stringfish,70,$15000.00,River (Clifftop),4pm - 9am,Jan,Feb,Mar,,,,,,,,,Dec,
Sturgeon,71,$10000.00,River (Mouth),All Day,,,,April,May,June,July,Aug,Sept,,,,
Suckerfish,72,$1500.00,Sea,All Day,,,,,,June,July,Aug,Sept,,,,
Sweetfish,73,$900.00,River,All Day,,,,,,,July,Aug,Sept,,,,
Tadpole,74,$100.00,Pond,All Day,,,Mar,April,May,June,July,,,,,,
Tilapia,75,$800.00,River,All Day,,,,,,June,July,Aug,Sept,Oct,,,
Tuna,76,$7000.00,Pier,All Day,Jan,Feb,Mar,April,,,,,,,Nov,Dec,
Whale Shark,77,$13.00,0,Sea,All Day,,,,,,June,July,Aug,Sept,,,
Yellow Perch,78,$300.00,River,All Day,Jan,Feb,Mar,,,,,,,Oct,Nov,Dec,
Zebra Turkeyfish,79,$500.00,Sea,All Day,,,,April,May,June,July,Aug,Sept,Oct,Nov,,
